country,year,gdp_billions
"Kosovo, Republic Of",2020,7.728
Romania,2020,252.372
United Kingdom,2021,3144.079
United States,2021,23725.65
Germany,2021,4358.147
Austria,2021,480.786
Belgium,2021,598.92
Italy,2021,2180.657
Denmark,2021,406.11
France,2021,2968.405
Netherlands,2021,1055.173
Luxembourg,2021,86.444
"San Marino, Republic Of",2021,1.857
Switzerland,2021,814.696
Sweden,2021,631.693
Norway,2021,503.368
Finland,2021,294.419
"Liechtenstein, Principality Of",2021,7.913
Canada,2021,2022.382
Japan,2021,5039.148
"Andorra, Principality Of",2021,3.325
Spain,2021,1462.216
Malta,2021,19.753
Greece,2021,218.449
Iceland,2021,26.235
Ireland,2021,530.747
Portugal,2021,256.226
Argentina,2021,486.04
New Zealand,2021,249.785
Australia,2021,1655.838
"Tã¼Rkiye, Republic Of",2021,827.673
South Africa,2021,419.878
Colombia,2021,318.525
Bolivia,2021,40.701
Brazil,2021,1670.65
Costa Rica,2021,64.954
Chile,2021,315.411
Ecuador,2021,107.179
Dominican Republic,2021,95.067
El Salvador,2021,29.043
Mexico,2021,1316.569
Panama,2021,67.396
Haiti,2021,21.017
Honduras,2021,28.146
Guatemala,2021,86.443
Nicaragua,2021,14.208
Uruguay,2021,60.742
"Venezuela, Repãºblica Bolivariana De",2021,56.615
Peru,2021,229.832
Paraguay,2021,39.951
Dominica,2021,0.555
"Bahamas, The",2021,12.037
"Aruba, Kingdom Of The Netherlands",2021,2.855
Antigua And Barbuda,2021,1.602
Jamaica,2021,15.982
Belize,2021,2.429
Barbados,2021,5.275
Grenada,2021,1.122
St. Kitts And Nevis,2021,0.859
Guyana,2021,8.041
Puerto Rico,2021,106.427
St. Vincent And The Grenadines,2021,0.888
St. Lucia,2021,1.869
Suriname,2021,3.084
Trinidad And Tobago,2021,24.223
Iraq,2021,210.753
"Iran, Islamic Republic Of",2021,307.337
"Bahrain, Kingdom Of",2021,40.84
Cyprus,2021,30.393
Oman,2021,87.324
Kuwait,2021,148.346
Jordan,2021,46.362
Israel,2021,489.736
Qatar,2021,179.732
Lebanon,2021,19.782
United Arab Emirates,2021,422.441
"Egypt, Arab Republic Of",2021,423.3
Saudi Arabia,2021,982.661
"Afghanistan, Islamic Republic Of",2021,14.278
"Yemen, Republic Of",2021,19.394
West Bank And Gaza,2021,18.109
Bangladesh,2021,416.265
Bhutan,2021,2.621
Cambodia,2021,36.797
Myanmar,2021,55.232
Brunei Darussalam,2021,14.006
Indonesia,2021,1186.51
Taiwan Province Of China,2021,776.965
"Hong Kong Special Administrative Region, People'S Republic Of China",2021,368.954
Sri Lanka,2021,88.609
Malaysia,2021,373.785
Lao People'S Democratic Republic,2021,18.533
"Macao Special Administrative Region, People'S Republic Of China",2021,30.969
"Korea, Republic Of",2021,1942.314
"Timor-Leste, Democratic Republic Of",2021,3.625
India,2021,3167.271
Singapore,2021,436.591
Philippines,2021,394.087
Maldives,2021,5.24
Nepal,2021,36.927
Pakistan,2021,348.481
"Palau, Republic Of",2021,0.236
Thailand,2021,506.195
Djibouti,2021,3.393
Vietnam,2021,370.076
Botswana,2021,18.75
Angola,2021,84.375
Algeria,2021,185.85
Central African Republic,2021,2.672
Cameroon,2021,45.036
Burundi,2021,3.356
Cabo Verde,2021,2.053
"Congo, Democratic Republic Of The",2021,57.718
"Congo, Republic Of",2021,13.387
Chad,2021,16.975
"Comoros, Union Of The",2021,1.273
Benin,2021,17.699
"Equatorial Guinea, Republic Of",2021,12.222
Guinea-Bissau,2021,1.722
"Ethiopia, The Federal Democratic Republic Of",2021,99.261
"Gambia, The",2021,2.045
Gabon,2021,19.455
Guinea,2021,16.32
Ghana,2021,79.514
Malawi,2021,12.475
Kenya,2021,109.875
Cã´Te D'Ivoire,2021,72.833
Liberia,2021,3.509
"Lesotho, Kingdom Of",2021,2.445
"Mauritania, Islamic Republic Of",2021,9.126
Mali,2021,19.32
"Madagascar, Republic Of",2021,14.355
Libya,2021,35.216
Morocco,2021,142.022
Mauritius,2021,11.484
Niger,2021,14.923
Nigeria,2021,609.479
"Mozambique, Republic Of",2021,16.168
Sierra Leone,2021,7.165
Senegal,2021,27.584
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2021,0.529
Rwanda,2021,11.066
Zimbabwe,2021,52.413
Sudan,2021,35.141
"South Sudan, Republic Of",2021,5.94
Somalia,2021,9.484
Seychelles,2021,1.49
Namibia,2021,12.399
Tunisia,2021,46.813
Togo,2021,8.338
"Tanzania, United Republic Of",2021,67.964
"Eswatini, Kingdom Of",2021,4.786
Solomon Islands,2021,1.523
Kiribati,2021,0.285
Burkina Faso,2021,19.708
Uganda,2021,42.808
Zambia,2021,22.096
Tonga,2021,0.52
Vanuatu,2021,0.921
Samoa,2021,0.86
"Nauru, Republic Of",2021,0.176
"Fiji, Republic Of",2021,4.159
Papua New Guinea,2021,26.113
"Belarus, Republic Of",2021,68.207
"Marshall Islands, Republic Of The",2021,0.259
"Micronesia, Federated States Of",2021,0.392
Tuvalu,2021,0.062
"Armenia, Republic Of",2021,13.879
"Azerbaijan, Republic Of",2021,54.825
Albania,2021,17.985
"Kazakhstan, Republic Of",2021,197.112
Georgia,2021,18.849
Russian Federation,2021,1828.927
Bulgaria,2021,84.477
Kyrgyz Republic,2021,9.256
"Moldova, Republic Of",2021,13.694
"Tajikistan, Republic Of",2021,8.934
"China, People'S Republic Of",2021,18190.803
"Uzbekistan, Republic Of",2021,77.34
Czech Republic,2021,290.973
Turkmenistan,2021,49.477
Ukraine,2021,199.835
"Serbia, Republic Of",2021,65.83
"Latvia, Republic Of",2021,38.209
Slovak Republic,2021,120.641
"Estonia, Republic Of",2021,37.226
Mongolia,2021,15.286
Montenegro,2021,5.827
Hungary,2021,183.283
"Slovenia, Republic Of",2021,61.582
Bosnia And Herzegovina,2021,23.688
"Lithuania, Republic Of",2021,67.068
"Croatia, Republic Of",2021,69.055
"Poland, Republic Of",2021,689.253
"North Macedonia, Republic Of",2021,14.008
"Kosovo, Republic Of",2021,9.418
Romania,2021,286.783
United Kingdom,2022,3125.404
United States,2022,26054.6
Germany,2022,4204.327
Austria,2022,472.145
Belgium,2022,594.081
Italy,2022,2105.723
Denmark,2022,400.115
France,2022,2796.987
Netherlands,2022,1047.364
Luxembourg,2022,80.865
"San Marino, Republic Of",2022,1.833
Switzerland,2022,828.513
Sweden,2022,575.071
Norway,2022,596.298
Finland,2022,280.474
"Liechtenstein, Principality Of",2022,7.378
Canada,2022,2190.411
Japan,2022,4263.231
"Andorra, Principality Of",2022,3.376
Spain,2022,1449.99
Malta,2022,18.943
Greece,2022,219.053
Iceland,2022,29.166
Ireland,2022,548.773
Portugal,2022,257.101
Argentina,2022,633.52
New Zealand,2022,245.228
Australia,2022,1725.433
"Tã¼Rkiye, Republic Of",2022,924.752
South Africa,2022,407.43
Colombia,2022,345.632
Bolivia,2022,44.329
Brazil,2022,1951.849
Costa Rica,2022,69.235
Chile,2022,301.27
Ecuador,2022,116.133
Dominican Republic,2022,113.813
El Salvador,2022,31.87
Mexico,2022,1466.935
Panama,2022,76.479
Haiti,2022,19.826
Honduras,2022,31.425
Guatemala,2022,95.642
Nicaragua,2022,15.634
Uruguay,2022,70.6
"Venezuela, Repãºblica Bolivariana De",2022,89.013
Peru,2022,248.204
Paraguay,2022,41.953
Dominica,2022,0.607
"Bahamas, The",2022,13.897
"Aruba, Kingdom Of The Netherlands",2022,3.266
Antigua And Barbuda,2022,1.867
Jamaica,2022,18.71
Belize,2022,2.847
Barbados,2022,6.257
Grenada,2022,1.224
St. Kitts And Nevis,2022,0.98
Guyana,2022,14.718
Puerto Rico,2022,113.844
St. Vincent And The Grenadines,2022,0.97
St. Lucia,2022,2.334
Suriname,2022,3.631
Trinidad And Tobago,2022,28.341
Iraq,2022,288.059
"Iran, Islamic Republic Of",2022,403.254
"Bahrain, Kingdom Of",2022,46.458
Cyprus,2022,30.96
Oman,2022,109.853
Kuwait,2022,183.539
Jordan,2022,48.834
Israel,2022,525.159
Qatar,2022,235.709
Lebanon,2022,24.748
United Arab Emirates,2022,511.403
"Egypt, Arab Republic Of",2022,475.231
Saudi Arabia,2022,1239.075
"Afghanistan, Islamic Republic Of",2022,14.501
"Yemen, Republic Of",2022,23.534
West Bank And Gaza,2022,19.166
Bangladesh,2022,460.201
Bhutan,2022,2.866
Cambodia,2022,39.089
Myanmar,2022,67.403
Brunei Darussalam,2022,16.682
Indonesia,2022,1319.101
Taiwan Province Of China,2022,765.624
"Hong Kong Special Administrative Region, People'S Republic Of China",2022,358.68
Sri Lanka,2022,74.584
Malaysia,2022,407.83
Lao People'S Democratic Republic,2022,15.121
"Macao Special Administrative Region, People'S Republic Of China",2022,24.998
"Korea, Republic Of",2022,1799.363
"Timor-Leste, Democratic Republic Of",2022,3.209
India,2022,3346.107
Singapore,2022,509.018
Philippines,2022,404.353
Maldives,2022,6.168
Nepal,2022,41.183
Pakistan,2022,374.85
"Palau, Republic Of",2022,0.247
Thailand,2022,495.645
Djibouti,2022,3.563
Vietnam,2022,411.068
Botswana,2022,20.321
Angola,2022,142.442
Algeria,2022,225.652
Central African Republic,2022,2.515
Cameroon,2022,44.442
Burundi,2022,3.922
Cabo Verde,2022,2.252
"Congo, Democratic Republic Of The",2022,66.161
"Congo, Republic Of",2022,13.967
Chad,2022,18.052
"Comoros, Union Of The",2022,1.224
Benin,2022,17.439
"Equatorial Guinea, Republic Of",2022,13.717
Guinea-Bissau,2022,1.721
"Ethiopia, The Federal Democratic Republic Of",2022,118.958
"Gambia, The",2022,2.135
Gabon,2022,20.485
Guinea,2022,19.589
Ghana,2022,73.919
Malawi,2022,12.531
Kenya,2022,114.733
Cã´Te D'Ivoire,2022,71.075
Liberia,2022,3.974
"Lesotho, Kingdom Of",2022,2.275
"Mauritania, Islamic Republic Of",2022,9.564
Mali,2022,19.319
"Madagascar, Republic Of",2022,15.326
Libya,2022,43.281
Morocco,2022,131.245
Mauritius,2022,12.908
Niger,2022,15.458
Nigeria,2022,645.682
"Mozambique, Republic Of",2022,18.884
Sierra Leone,2022,7.119
Senegal,2022,27.75
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2022,0.546
Rwanda,2022,13.313
Zimbabwe,2022,48.57
Sudan,2022,33.5
"South Sudan, Republic Of",2022,7.533
Somalia,2022,10.203
Seychelles,2022,2.018
Namibia,2022,12.564
Tunisia,2022,44.596
Togo,2022,8.144
"Tanzania, United Republic Of",2022,74.173
"Eswatini, Kingdom Of",2022,4.741
Solomon Islands,2022,1.566
Kiribati,2022,0.271
Burkina Faso,2022,18.662
Uganda,2022,47.263
Zambia,2022,29.164
Tonga,2022,0.515
Vanuatu,2022,1.035
Samoa,2022,0.89
"Nauru, Republic Of",2022,0.152
"Fiji, Republic Of",2022,4.978
Papua New Guinea,2022,31.653
"Belarus, Republic Of",2022,73.735
"Marshall Islands, Republic Of The",2022,0.253
"Micronesia, Federated States Of",2022,0.416
Tuvalu,2022,0.054
"Armenia, Republic Of",2022,19.514
"Azerbaijan, Republic Of",2022,78.807
Albania,2022,19.189
"Kazakhstan, Republic Of",2022,225.496
Georgia,2022,24.985
Russian Federation,2022,2295.526
Bulgaria,2022,90.719
Kyrgyz Republic,2022,12.269
"Moldova, Republic Of",2022,14.524
"Tajikistan, Republic Of",2022,10.714
"China, People'S Republic Of",2022,18307.816
"Uzbekistan, Republic Of",2022,90.125
Czech Republic,2022,301.831
Turkmenistan,2022,56.677
Ukraine,2022,161.987
"Serbia, Republic Of",2022,66.798
"Latvia, Republic Of",2022,38.045
Slovak Republic,2022,115.975
"Estonia, Republic Of",2022,38.257
Mongolia,2022,17.146
Montenegro,2022,6.265
Hungary,2022,178.321
"Slovenia, Republic Of",2022,59.946
Bosnia And Herzegovina,2022,24.581
"Lithuania, Republic Of",2022,71.082
"Croatia, Republic Of",2022,71.26
"Poland, Republic Of",2022,695.734
"North Macedonia, Republic Of",2022,13.957
"Kosovo, Republic Of",2022,9.375
Romania,2022,296.928
United Kingdom,2023,3371.118
United States,2023,27811.5
Germany,2023,4563.523
Austria,2023,511.833
Belgium,2023,644.84
Italy,2023,2305.27
Denmark,2023,404.652
France,2023,3061.093
Netherlands,2023,1135.803
Luxembourg,2023,88.815
"San Marino, Republic Of",2023,2.028
Switzerland,2023,894.815
Sweden,2023,578.991
Norway,2023,482.95
Finland,2023,295.135
"Liechtenstein, Principality Of",2023,8.286
Canada,2023,2173.34
Japan,2023,4204.573
"Andorra, Principality Of",2023,3.786
Spain,2023,1619.949
Malta,2023,22.617
Greece,2023,243.569
Iceland,2023,31.678
Ireland,2023,567.537
Portugal,2023,289.781
Argentina,2023,648.895
New Zealand,2023,253.789
Australia,2023,1742.311
"Tã¼Rkiye, Republic Of",2023,1153.295
South Africa,2023,381.334
Colombia,2023,366.292
Bolivia,2023,45.464
Brazil,2023,2191.137
Costa Rica,2023,86.509
Chile,2023,335.627
Ecuador,2023,121.147
Dominican Republic,2023,120.794
El Salvador,2023,33.854
Mexico,2023,1798.318
Panama,2023,83.812
Haiti,2023,19.603
Honduras,2023,34.356
Guatemala,2023,104.354
Nicaragua,2023,17.813
Uruguay,2023,77.997
"Venezuela, Repãºblica Bolivariana De",2023,102.377
Peru,2023,271.78
Paraguay,2023,43.118
Dominica,2023,0.654
"Bahamas, The",2023,15.271
"Aruba, Kingdom Of The Netherlands",2023,3.769
Antigua And Barbuda,2023,2.006
Jamaica,2023,21.299
Belize,2023,3.052
Barbados,2023,6.721
Grenada,2023,1.336
St. Kitts And Nevis,2023,1.06
Guyana,2023,16.919
Puerto Rico,2023,118.375
St. Vincent And The Grenadines,2023,1.068
St. Lucia,2023,2.397
Suriname,2023,3.445
Trinidad And Tobago,2023,25.037
Iraq,2023,270.799
"Iran, Islamic Republic Of",2023,421.547
"Bahrain, Kingdom Of",2023,46.192
Cyprus,2023,33.897
Oman,2023,105.896
Kuwait,2023,165.396
Jordan,2023,51.161
Israel,2023,513.394
Qatar,2023,213.003
Lebanon,2023,23.607
United Arab Emirates,2023,522.622
"Egypt, Arab Republic Of",2023,393.828
Saudi Arabia,2023,1218.585
"Afghanistan, Islamic Republic Of",2023,17.248
"Yemen, Republic Of",2023,19.412
West Bank And Gaza,2023,17.848
Bangladesh,2023,451.534
Bhutan,2023,2.923
Cambodia,2023,42.404
Myanmar,2023,62.299
Brunei Darussalam,2023,15.095
Indonesia,2023,1371.169
Taiwan Province Of China,2023,757.335
"Hong Kong Special Administrative Region, People'S Republic Of China",2023,381.043
Sri Lanka,2023,83.723
Malaysia,2023,399.949
Lao People'S Democratic Republic,2023,15.011
"Macao Special Administrative Region, People'S Republic Of China",2023,45.802
"Korea, Republic Of",2023,1844.801
"Timor-Leste, Democratic Republic Of",2023,2.08
India,2023,3638.49
Singapore,2023,505.44
Philippines,2023,437.055
Maldives,2023,6.611
Nepal,2023,41.048
Pakistan,2023,336.555
"Palau, Republic Of",2023,0.276
Thailand,2023,515.906
Djibouti,2023,3.917
Vietnam,2023,433.008
Botswana,2023,19.411
Angola,2023,112.483
Algeria,2023,248.087
Central African Republic,2023,2.721
Cameroon,2023,49.287
Burundi,2023,4.291
Cabo Verde,2023,2.501
"Congo, Democratic Republic Of The",2023,67.426
"Congo, Republic Of",2023,14.169
Chad,2023,18.638
"Comoros, Union Of The",2023,1.328
Benin,2023,19.679
"Equatorial Guinea, Republic Of",2023,12.339
Guinea-Bissau,2023,2.005
"Ethiopia, The Federal Democratic Republic Of",2023,159.761
"Gambia, The",2023,2.245
Gabon,2023,20.059
Guinea,2023,22.089
Ghana,2023,80.547
Malawi,2023,13.439
Kenya,2023,108.206
Cã´Te D'Ivoire,2023,79.63
Liberia,2023,4.39
"Lesotho, Kingdom Of",2023,2.215
"Mauritania, Islamic Republic Of",2023,10.724
Mali,2023,21.184
"Madagascar, Republic Of",2023,15.87
Libya,2023,43.958
Morocco,2023,146.057
Mauritius,2023,14.101
Niger,2023,16.809
Nigeria,2023,487.347
"Mozambique, Republic Of",2023,20.921
Sierra Leone,2023,6.397
Senegal,2023,30.701
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2023,0.696
Rwanda,2023,14.331
Zimbabwe,2023,44.372
Sudan,2023,36.983
"South Sudan, Republic Of",2023,7.401
Somalia,2023,10.969
Seychelles,2023,2.187
Namibia,2023,12.402
Tunisia,2023,48.541
Togo,2023,9.081
"Tanzania, United Republic Of",2023,78.368
"Eswatini, Kingdom Of",2023,4.604
Solomon Islands,2023,1.661
Kiribati,2023,0.289
Burkina Faso,2023,20.116
Uganda,2023,52.003
Zambia,2023,27.578
Tonga,2023,0.513
Vanuatu,2023,1.125
Samoa,2023,1.045
"Nauru, Republic Of",2023,0.152
"Fiji, Republic Of",2023,5.477
Papua New Guinea,2023,30.729
"Belarus, Republic Of",2023,71.792
"Marshall Islands, Republic Of The",2023,0.259
"Micronesia, Federated States Of",2023,0.444
Tuvalu,2023,0.051
"Armenia, Republic Of",2023,24.186
"Azerbaijan, Republic Of",2023,72.428
Albania,2023,23.633
"Kazakhstan, Republic Of",2023,261.84
Georgia,2023,30.778
Russian Federation,2023,2059.759
Bulgaria,2023,102.434
Kyrgyz Republic,2023,15.187
"Moldova, Republic Of",2023,16.711
"Tajikistan, Republic Of",2023,12.203
"China, People'S Republic Of",2023,18270.351
"Uzbekistan, Republic Of",2023,102.634
Czech Republic,2023,345.059
Turkmenistan,2023,62.814
Ukraine,2023,181.228
"Serbia, Republic Of",2023,81.343
"Latvia, Republic Of",2023,42.584
Slovak Republic,2023,133.936
"Estonia, Republic Of",2023,41.482
Mongolia,2023,20.315
Montenegro,2023,7.646
Hungary,2023,214.098
"Slovenia, Republic Of",2023,69.275
Bosnia And Herzegovina,2023,27.606
"Lithuania, Republic Of",2023,79.824
"Croatia, Republic Of",2023,84.429
"Poland, Republic Of",2023,812.959
"North Macedonia, Republic Of",2023,15.772
"Kosovo, Republic Of",2023,10.47
Romania,2023,350.847
United Kingdom,2024,3644.636
United States,2024,29298.025
Germany,2024,4684.182
Austria,2024,523.956
Belgium,2024,664.365
Italy,2024,2372.059
Denmark,2024,424.525
France,2024,3160.902
Netherlands,2024,1214.562
Luxembourg,2024,93.252
"San Marino, Republic Of",2024,2.082
Switzerland,2024,938.153
Sweden,2024,603.715
Norway,2024,483.593
Finland,2024,298.607
"Liechtenstein, Principality Of",2024,8.5
Canada,2024,2243.637
Japan,2024,4019.382
"Andorra, Principality Of",2024,4.038
Spain,2024,1725.152
Malta,2024,24.964
Greece,2024,257.067
Iceland,2024,33.255
Ireland,2024,608.974
Portugal,2024,308.581
Argentina,2024,637.234
New Zealand,2024,258.365
Australia,2024,1795.492
"Tã¼Rkiye, Republic Of",2024,1358.251
South Africa,2024,401.076
Colombia,2024,418.818
Bolivia,2024,46.967
Brazil,2024,2179.413
Costa Rica,2024,95.365
Chile,2024,330.21
Ecuador,2024,124.676
Dominican Republic,2024,124.613
El Salvador,2024,35.365
Mexico,2024,1856.366
Panama,2024,86.524
Haiti,2024,25.285
Honduras,2024,37.1
Guatemala,2024,113.19
Nicaragua,2024,19.694
Uruguay,2024,80.961
"Venezuela, Repãºblica Bolivariana De",2024,119.803
Peru,2024,294.675
Paraguay,2024,44.458
Dominica,2024,0.698
"Bahamas, The",2024,15.833
"Aruba, Kingdom Of The Netherlands",2024,4.192
Antigua And Barbuda,2024,2.208
Jamaica,2024,21.9
Belize,2024,3.204
Barbados,2024,7.169
Grenada,2024,1.395
St. Kitts And Nevis,2024,1.079
Guyana,2024,24.659
Puerto Rico,2024,125.842
St. Vincent And The Grenadines,2024,1.162
St. Lucia,2024,2.574
Suriname,2024,4.452
Trinidad And Tobago,2024,25.634
Iraq,2024,278.771
"Iran, Islamic Republic Of",2024,416.676
"Bahrain, Kingdom Of",2024,47.11
Cyprus,2024,36.322
Oman,2024,106.943
Kuwait,2024,160.226
Jordan,2024,53.428
Israel,2024,542.285
Qatar,2024,219.631
Lebanon,2024,28.28
United Arab Emirates,2024,552.325
"Egypt, Arab Republic Of",2024,383.105
Saudi Arabia,2024,1239.805
"Afghanistan, Islamic Republic Of",2024,18.08
"Yemen, Republic Of",2024,19.101
West Bank And Gaza,2024,13.711
Bangladesh,2024,450.461
Bhutan,2024,3.098
Cambodia,2024,46.098
Myanmar,2024,61.653
Brunei Darussalam,2024,15.463
Indonesia,2024,1396.3
Taiwan Province Of China,2024,797.004
"Hong Kong Special Administrative Region, People'S Republic Of China",2024,406.863
Sri Lanka,2024,98.964
Malaysia,2024,422.227
Lao People'S Democratic Republic,2024,15.908
"Macao Special Administrative Region, People'S Republic Of China",2024,50.182
"Korea, Republic Of",2024,1875.388
"Timor-Leste, Democratic Republic Of",2024,2.015
India,2024,3909.892
Singapore,2024,547.387
Philippines,2024,461.617
Maldives,2024,7.052
Nepal,2024,42.914
Pakistan,2024,371.408
"Palau, Republic Of",2024,0.322
Thailand,2024,526.518
Djibouti,2024,4.291
Vietnam,2024,459.472
Botswana,2024,19.356
Angola,2024,115.214
Algeria,2024,269.14
Central African Republic,2024,2.831
Cameroon,2024,54.394
Burundi,2024,4.827
Cabo Verde,2024,2.726
"Congo, Democratic Republic Of The",2024,74.498
"Congo, Republic Of",2024,14.774
Chad,2024,19.836
"Comoros, Union Of The",2024,1.442
Benin,2024,21.487
"Equatorial Guinea, Republic Of",2024,12.769
Guinea-Bissau,2024,2.186
"Ethiopia, The Federal Democratic Republic Of",2024,142.073
"Gambia, The",2024,2.355
Gabon,2024,20.9
Guinea,2024,24.229
Ghana,2024,82.825
Malawi,2024,11.797
Kenya,2024,119.307
Cã´Te D'Ivoire,2024,87.096
Liberia,2024,4.778
"Lesotho, Kingdom Of",2024,2.298
"Mauritania, Islamic Republic Of",2024,11.003
Mali,2024,22.789
"Madagascar, Republic Of",2024,17.421
Libya,2024,48.363
Morocco,2024,160.606
Mauritius,2024,14.986
Niger,2024,19.866
Nigeria,2024,252.109
"Mozambique, Republic Of",2024,22.745
Sierra Leone,2024,7.792
Senegal,2024,32.816
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2024,0.828
Rwanda,2024,14.251
Zimbabwe,2024,49.154
Sudan,2024,29.184
"South Sudan, Republic Of",2024,4.648
Somalia,2024,12.161
Seychelles,2024,2.178
Namibia,2024,13.37
Tunisia,2024,52.925
Togo,2024,9.776
"Tanzania, United Republic Of",2024,79.236
"Eswatini, Kingdom Of",2024,4.944
Solomon Islands,2024,1.778
Kiribati,2024,0.308
Burkina Faso,2024,23.13
Uganda,2024,56.232
Zambia,2024,26.326
Tonga,2024,0.558
Vanuatu,2024,1.09
Samoa,2024,1.176
"Nauru, Republic Of",2024,0.162
"Fiji, Republic Of",2024,5.968
Papua New Guinea,2024,31.496
"Belarus, Republic Of",2024,76.208
"Marshall Islands, Republic Of The",2024,0.281
"Micronesia, Federated States Of",2024,0.471
Tuvalu,2024,0.056
"Armenia, Republic Of",2024,25.955
"Azerbaijan, Republic Of",2024,74.316
Albania,2024,27.084
"Kazakhstan, Republic Of",2024,291.48
Georgia,2024,33.775
Russian Federation,2024,2173.225
Bulgaria,2024,112.232
Kyrgyz Republic,2024,17.491
"Moldova, Republic Of",2024,18.201
"Tajikistan, Republic Of",2024,14.199
"China, People'S Republic Of",2024,18749.759
"Uzbekistan, Republic Of",2024,114.962
Czech Republic,2024,347.034
Turkmenistan,2024,68.675
Ukraine,2024,190.687
"Serbia, Republic Of",2024,89.074
"Latvia, Republic Of",2024,43.508
Slovak Republic,2024,141.733
"Estonia, Republic Of",2024,43.117
Mongolia,2024,23.795
Montenegro,2024,8.272
Hungary,2024,223.06
"Slovenia, Republic Of",2024,72.95
Bosnia And Herzegovina,2024,29.614
"Lithuania, Republic Of",2024,84.847
"Croatia, Republic Of",2024,92.643
"Poland, Republic Of",2024,914.553
"North Macedonia, Republic Of",2024,16.679
"Kosovo, Republic Of",2024,11.2
Romania,2024,382.854
